rpm,temperature,load_factor,voltage,current,power_watts,efficiency,motor_temp,anomaly
713.0,38.0,1.097,232.0,1.601,352.89,85.9,58.2,0
230.5,26.0,1.447,230.0,0.561,122.59,81.6,38.3,0
329.5,24.2,0.693,234.1,0.649,144.36,83.6,34.0,0
237.7,44.3,1.406,225.9,0.509,109.2,81.9,57.5,0
963.7,35.4,0.553,221.2,2.05,430.77,84.7,57.2,0
577.2,44.5,0.808,225.1,1.199,256.45,84.7,61.6,0
810.3,28.4,0.788,235.3,1.766,394.73,86.5,47.9,0
1289.1,37.6,1.126,229.2,2.705,589.0,82.8,69.8,0
499.2,25.6,0.631,230.5,1.017,222.65,85.2,38.5,0
692.5,26.5,1.382,224.7,1.539,328.55,85.9,47.6,0
1106.7,32.8,1.329,230.3,2.266,495.9,83.9,59.5,0
474.6,28.0,1.152,224.9,0.962,205.6,83.9,45.4,0
292.4,24.2,0.958,225.6,0.614,131.5,82.0,35.1,0
547.7,26.6,1.433,228.0,1.232,266.85,85.6,45.7,0
393.5,20.9,1.331,232.2,0.931,205.45,82.4,34.0,0
1315.6,37.6,0.999,232.8,2.699,596.82,81.6,69.1,0
1169.7,32.3,1.202,232.9,2.338,517.39,83.4,61.5,0
960.1,22.4,1.067,222.1,1.918,404.62,83.6,45.8,0
1245.8,24.3,1.088,230.0,2.517,549.84,82.4,55.9,0
1164.4,22.6,0.831,229.0,2.328,506.54,84.8,50.2,0
423.9,35.3,0.962,222.3,0.944,199.49,84.2,48.5,0
1271.1,22.4,0.578,230.1,2.69,588.04,82.4,51.3,0
847.2,38.9,0.857,228.7,1.816,394.62,85.8,59.2,0
1168.9,20.5,1.196,232.6,2.362,521.78,85.7,50.0,0
1275.3,26.2,1.453,230.4,2.615,572.34,83.1,59.1,0
581.6,42.3,1.463,227.3,1.254,270.65,85.9,61.3,0
332.1,38.0,1.056,234.6,0.774,172.6,83.7,50.9,0
473.5,21.8,1.107,218.9,1.103,229.32,83.6,36.4,0
712.5,40.5,0.686,229.7,1.477,322.17,85.1,57.7,0
1181.6,32.3,1.195,221.2,2.532,532.09,84.1,61.3,0
1232.9,41.2,0.571,225.4,2.641,989.49,82.4,68.0,1
208.3,35.0,0.785,232.6,0.473,104.63,78.9,44.2,0
812.9,37.0,1.168,223.6,1.702,361.69,84.2,59.1,0
700.9,44.8,0.81,222.9,1.469,311.07,82.7,63.9,0
466.5,25.8,0.55,241.9,0.989,227.4,83.1,38.2,0
343.8,35.6,1.332,223.2,0.772,163.69,81.2,48.3,0
605.1,31.5,0.81,238.3,1.327,300.24,85.5,46.2,0
1331.5,21.0,0.563,229.1,2.635,573.52,81.0,49.0,0
587.8,20.4,0.575,227.4,1.198,258.79,85.1,34.1,0
822.5,23.0,0.752,232.8,1.722,380.92,85.8,44.2,0
1043.6,36.2,0.678,236.7,2.201,494.86,85.1,61.8,0
636.4,34.2,1.274,224.3,1.48,315.4,82.9,53.4,0
1366.1,33.8,0.822,227.4,2.743,592.64,82.9,66.2,0
1354.9,20.8,1.305,234.2,2.763,614.9,82.3,53.9,0
502.1,31.7,0.674,231.4,0.956,210.28,84.9,44.5,0
796.7,43.1,0.993,235.5,1.631,364.83,86.8,64.8,0
561.1,29.9,1.188,232.6,1.123,248.12,85.2,47.3,0
541.8,35.6,1.152,239.0,1.151,261.33,83.2,53.0,0
244.3,39.5,1.101,230.9,0.572,125.39,82.6,49.9,0
931.5,39.6,1.425,231.1,1.997,438.51,83.3,65.0,0
803.2,33.0,0.729,231.6,1.661,365.45,84.9,52.5,0
261.8,41.4,0.994,229.3,0.638,139.01,81.6,52.0,0
534.4,29.8,1.384,234.2,1.173,261.12,84.3,47.6,0
1289.9,42.2,0.578,231.2,2.599,570.87,81.1,70.0,0
487.5,26.0,0.556,233.9,0.944,209.89,82.6,38.4,0
373.9,27.0,0.733,234.7,0.841,187.44,82.7,36.6,0
787.3,21.3,1.133,232.1,1.735,382.63,84.8,42.4,0
1382.8,39.9,0.76,232.5,2.97,1086.32,81.2,70.4,1
490.5,30.4,0.69,224.9,1.093,233.5,85.5,40.6,0
1006.6,25.7,0.959,227.2,2.16,466.24,85.0,52.9,0
1113.9,25.8,1.114,234.2,2.332,518.98,84.4,52.9,0
485.2,42.5,0.749,237.1,1.065,239.99,83.6,55.0,0
1073.9,40.8,0.801,220.3,2.234,467.57,82.9,68.0,0
641.3,33.8,1.114,227.2,1.367,294.98,84.7,51.1,0
958.8,35.4,1.446,230.1,2.056,449.37,86.6,60.4,0
960.2,31.9,1.175,225.6,1.985,425.44,85.0,56.7,0
842.9,29.8,1.283,225.9,1.772,380.35,86.1,52.6,0
308.3,42.9,0.867,232.4,0.644,142.17,83.8,52.7,0
1202.4,23.1,0.772,237.9,2.49,562.82,83.9,50.1,0
584.9,30.5,0.954,219.8,1.2,250.64,84.8,46.7,0
423.8,28.6,1.307,229.1,0.943,205.35,82.6,45.3,0
248.9,32.5,0.956,232.3,0.603,133.12,81.8,40.6,0
909.1,31.4,1.347,233.9,1.946,432.46,84.5,57.2,0
1013.1,33.0,1.489,231.6,2.172,477.91,84.9,62.2,0
219.9,23.5,0.572,238.8,0.481,109.18,80.2,30.1,0
814.5,32.8,0.545,230.1,1.713,374.62,84.5,52.2,0
471.8,26.1,0.65,236.6,0.978,219.74,84.3,38.6,0
974.2,24.6,0.884,226.8,1.919,413.34,84.0,46.8,0
409.2,21.6,0.631,230.3,0.898,196.5,82.6,34.2,0
1029.1,39.1,1.371,223.9,2.181,463.94,83.7,66.5,0
664.1,30.7,0.523,234.5,1.436,319.84,84.5,46.1,0
1324.1,35.7,0.816,229.4,2.723,593.49,79.9,64.7,0
365.0,38.2,0.685,231.8,0.722,159.05,82.4,49.4,0
609.3,37.0,1.432,228.4,1.323,287.01,85.6,56.5,0
336.2,31.8,1.169,232.9,0.807,178.56,83.2,44.9,0
1309.6,29.7,1.412,232.0,2.743,604.6,82.8,63.5,0
1252.8,29.4,1.472,225.0,2.601,556.09,81.1,61.0,0
509.5,36.0,0.997,225.3,1.022,218.7,83.7,47.8,0
992.0,32.4,0.734,229.9,2.002,437.12,84.5,55.8,0
1180.7,41.2,0.694,233.3,2.461,545.46,84.0,68.1,0
866.2,41.9,0.723,239.3,1.727,392.69,86.1,63.0,0
835.6,24.3,1.209,231.5,1.74,382.68,85.9,48.5,0
490.2,23.4,0.54,235.0,1.033,230.61,83.5,35.9,0
311.7,35.8,0.551,221.9,0.744,156.92,82.1,45.4,0
1276.7,27.5,1.108,240.1,2.667,608.24,84.1,59.0,0
1280.5,20.5,1.142,233.0,2.687,594.78,82.3,50.4,0
959.7,42.2,1.165,229.8,2.035,444.17,83.7,65.9,0
606.8,25.7,0.872,229.2,1.241,270.12,84.4,43.3,0
619.1,43.2,1.306,224.5,1.316,280.61,86.0,61.3,0
1071.1,37.9,1.034,225.9,2.185,468.96,83.4,64.9,0
1276.5,39.1,0.605,239.6,2.652,603.51,82.3,66.6,0
1264.5,25.0,1.297,225.1,2.584,1330.87,82.0,57.6,1
1135.9,25.9,1.453,225.0,2.351,502.33,84.8,56.1,0
970.4,33.0,0.56,226.5,2.003,430.98,85.0,54.9,0
301.0,24.3,0.891,224.0,0.753,319.24,83.4,35.4,1
394.0,27.6,0.988,230.1,0.898,196.23,84.9,40.7,0
1278.3,28.0,0.646,235.4,2.578,576.68,81.2,56.1,0
927.7,24.0,1.368,226.9,1.955,1026.44,84.1,49.4,1
211.0,25.1,0.784,223.1,0.569,120.61,81.1,33.9,0
321.8,39.7,1.283,231.5,0.778,171.11,82.8,53.7,0
996.2,24.2,1.171,229.7,1.995,435.43,85.1,49.8,0
206.1,20.7,1.098,235.0,0.442,98.68,81.0,32.1,0
393.0,35.7,0.692,227.7,0.807,174.52,82.7,46.3,0
858.5,44.4,0.721,228.7,1.869,406.16,85.9,63.6,0
1030.3,28.3,0.547,229.3,2.179,474.57,85.0,50.2,0
982.4,23.0,0.741,230.4,1.993,436.41,85.0,46.3,0
469.1,34.3,0.845,228.0,0.982,212.83,81.8,47.9,0
1054.6,42.7,1.333,227.2,2.221,479.39,85.6,70.5,0
484.7,39.6,0.866,220.7,1.056,221.47,84.2,53.0,0
590.5,35.6,1.255,227.2,1.231,265.7,84.4,55.9,0
1095.8,27.9,0.939,233.6,2.254,500.15,83.3,56.0,0
979.6,33.5,1.285,234.3,1.984,441.57,84.0,58.4,0
1219.1,22.3,1.476,227.6,2.598,561.82,82.4,53.9,0
989.1,37.0,0.74,236.5,1.964,441.31,82.6,60.5,0
882.0,38.1,1.362,229.9,1.782,389.04,84.1,63.3,0
312.4,44.1,1.122,223.3,0.747,158.43,81.0,54.5,0
641.3,26.5,1.317,221.7,1.313,276.6,84.7,44.2,0
518.2,20.5,1.152,236.1,1.089,244.36,83.1,35.4,0
492.8,33.6,0.924,228.1,1.069,231.59,84.8,49.6,0
1367.6,37.7,0.728,223.9,2.843,604.81,80.1,68.0,0
671.7,39.8,0.57,218.7,1.401,291.01,86.0,56.9,0
1270.5,24.8,1.036,228.0,2.706,586.28,83.6,56.0,0
957.4,26.5,1.49,232.0,2.016,444.32,83.7,53.0,0
1153.8,32.8,1.238,226.5,2.462,529.75,83.7,62.9,0
803.2,28.3,0.827,224.7,1.69,360.79,84.1,47.2,0
892.3,41.5,1.327,227.3,1.999,431.57,85.5,65.5,0
791.0,31.8,1.269,236.2,1.73,388.28,86.8,51.8,0
434.3,40.0,0.782,223.0,0.95,201.25,84.8,52.7,0
1066.9,34.5,0.514,226.8,2.226,479.5,83.6,57.6,0
536.9,39.3,0.618,236.1,1.131,253.64,84.4,55.3,0
229.2,28.3,1.377,232.5,0.542,119.7,83.3,39.8,0
974.6,40.8,1.337,230.9,1.992,436.85,85.2,67.8,0
412.5,26.9,0.795,226.8,0.851,183.38,84.5,39.7,0
1328.6,33.7,0.785,230.2,2.833,619.43,82.9,64.1,0
1344.7,25.4,1.293,227.3,2.719,587.2,82.1,59.7,0
1297.8,31.9,1.438,225.7,2.667,571.78,82.5,65.1,0
644.2,28.0,1.279,224.6,1.376,293.51,83.5,47.7,0
218.5,26.7,1.106,233.9,0.516,114.67,80.9,38.9,0
1314.0,44.2,0.743,229.7,2.728,595.39,81.5,74.4,0
713.8,24.0,1.026,231.6,1.479,325.48,84.6,42.9,0
1360.0,39.7,0.734,230.8,2.819,617.89,82.0,69.8,0
1356.3,44.6,1.308,232.2,2.88,635.27,81.8,78.2,0
1223.6,20.5,0.887,228.7,2.575,559.61,83.4,49.5,0
553.3,37.5,1.334,227.6,1.197,258.91,85.1,55.3,0
662.1,26.3,0.882,225.9,1.425,305.89,84.4,42.4,0
1221.4,21.0,1.324,222.9,2.473,523.66,84.0,49.8,0
580.3,30.1,0.833,224.4,1.196,255.01,85.7,44.9,0
403.4,43.4,0.94,228.2,0.838,181.75,83.8,56.2,0
868.2,20.3,1.115,222.0,1.81,381.72,84.4,43.3,0
1323.4,34.7,0.57,223.1,2.667,565.23,83.2,64.5,0
1035.2,32.5,1.448,235.2,2.099,469.11,84.9,60.8,0
884.1,41.8,1.074,231.1,1.844,404.96,85.5,64.4,0
316.6,22.1,1.008,227.7,0.619,133.98,84.2,32.5,0
938.0,37.0,1.339,241.4,2.046,469.22,85.5,63.0,0
1388.1,37.0,1.366,221.8,2.854,601.16,83.1,71.8,0
368.1,36.7,1.022,234.9,0.873,194.86,83.0,48.1,0
822.0,43.6,1.427,229.4,1.734,378.03,84.6,67.8,0
1252.8,40.6,0.565,233.9,2.515,558.85,84.1,69.4,0
1088.9,21.0,0.613,230.5,2.288,501.18,83.2,46.7,0
1036.4,31.8,1.097,220.6,2.164,453.57,86.3,59.0,0
1043.0,29.9,0.854,230.5,2.253,493.29,85.7,54.3,0
631.4,27.8,0.964,231.7,1.315,289.52,84.8,46.1,0
552.3,31.3,0.828,219.0,1.155,240.35,85.6,46.3,0
1171.2,29.6,0.905,239.7,2.468,561.95,84.3,59.6,0
1172.1,30.8,1.323,231.6,2.492,548.14,82.3,61.8,0
1240.5,44.5,1.093,233.4,2.588,573.69,82.2,75.2,0
1295.9,22.2,1.497,224.2,2.856,608.14,82.8,57.3,0
813.6,43.1,1.287,233.5,1.721,381.59,85.2,65.3,0
801.8,32.0,0.774,235.4,1.611,360.31,86.3,52.5,0
1158.0,35.6,0.764,231.3,2.34,514.02,84.0,64.8,0
980.0,40.8,0.836,230.0,2.029,443.19,83.4,65.3,0
1042.4,29.0,1.343,225.5,2.257,483.54,83.9,56.7,0
1155.0,30.8,0.527,228.9,2.358,512.74,84.5,56.2,0
1268.0,30.2,0.73,227.4,2.681,579.29,81.0,58.3,0
605.6,29.4,1.405,232.9,1.333,294.78,83.2,48.2,0
650.7,43.1,1.14,225.8,1.456,312.19,84.4,61.0,0
312.8,40.7,0.727,232.8,0.722,159.69,83.6,50.4,0
893.9,22.7,0.719,225.8,1.866,400.18,84.7,44.1,0
243.1,22.7,1.363,228.7,0.615,133.55,82.4,35.4,0
758.7,30.7,1.394,233.1,1.589,351.95,85.0,52.4,0
851.2,22.5,0.756,226.5,1.735,373.26,84.8,42.7,0
543.8,35.5,0.921,233.3,1.187,262.96,83.7,51.8,0
909.0,23.6,1.335,232.8,2.005,1042.36,85.7,49.1,1
236.6,33.1,1.271,228.6,0.493,107.04,80.6,43.9,0
244.8,20.2,1.314,235.8,0.474,106.2,81.7,32.2,0
1187.1,27.9,1.018,230.4,2.44,534.02,84.6,56.5,0
632.2,36.9,1.412,235.5,1.424,318.49,84.0,56.4,0
352.5,32.1,0.826,239.0,0.781,177.28,81.4,44.8,0
826.7,44.5,0.657,228.8,1.672,363.46,82.9,64.1,0
1124.0,41.9,1.209,233.2,2.354,521.61,84.6,70.0,0
459.0,29.0,1.039,226.8,0.912,196.57,84.6,43.4,0
947.5,21.1,1.355,224.8,2.015,430.45,84.4,44.9,0
302.4,41.1,0.581,229.0,0.66,143.51,81.3,49.9,0
262.0,42.8,1.344,223.2,0.63,133.56,82.0,55.0,0
837.6,40.5,0.793,225.3,1.777,380.32,86.2,63.2,0
848.8,23.2,1.155,233.0,1.789,395.87,83.7,46.0,0
964.9,44.9,0.54,227.4,1.975,426.66,85.8,67.4,0
1071.3,26.5,1.11,233.6,2.276,505.04,82.6,53.8,0
1371.0,38.1,1.217,231.5,2.881,633.57,80.6,73.9,0
819.6,42.7,0.869,239.3,1.637,371.98,85.1,64.4,0
587.5,25.9,0.715,232.6,1.225,575.37,85.5,39.8,1
1154.2,42.7,1.038,235.6,2.349,1173.81,85.2,72.2,1
525.0,27.7,1.333,232.0,1.081,238.26,85.2,44.0,0
726.8,44.4,0.824,231.6,1.566,344.46,86.5,62.4,0
294.1,27.0,0.752,235.8,0.632,141.59,82.6,35.4,0
230.4,43.8,0.779,233.3,0.536,118.93,81.1,54.2,0
1355.2,21.3,1.449,231.1,2.771,608.16,83.1,56.9,0
1203.2,37.7,0.859,231.0,2.506,549.91,84.7,67.3,0
1035.2,33.3,0.504,232.7,2.163,478.09,85.4,57.6,0
690.7,31.9,1.282,226.6,1.586,341.49,85.5,52.9,0
408.0,25.6,1.199,226.4,0.892,191.97,84.9,39.4,0
387.7,37.6,0.629,237.1,0.772,173.93,83.6,48.7,0
500.3,24.8,1.485,239.3,1.074,244.27,84.1,41.7,0
859.1,33.8,1.108,225.4,1.85,396.0,85.7,55.7,0
1057.5,26.3,1.001,226.7,2.153,463.54,84.8,51.8,0
992.2,43.9,0.882,235.7,1.998,447.49,85.5,70.5,0
535.9,20.7,1.399,232.7,1.125,248.64,84.2,38.0,0
1345.8,25.0,0.744,233.4,2.727,604.66,82.9,56.6,0
1085.5,26.1,0.786,234.5,2.182,486.1,85.0,53.8,0
865.2,30.4,0.622,228.8,1.803,391.85,85.2,51.5,0
934.1,25.8,1.259,231.6,1.953,429.78,84.1,50.0,0
703.5,32.3,1.096,231.3,1.534,336.93,86.1,51.1,0
497.3,41.8,1.109,225.7,1.07,229.33,82.9,57.4,0
627.2,37.8,0.718,231.6,1.356,298.31,83.7,56.2,0
1109.4,34.5,1.151,236.2,2.286,512.99,84.2,63.9,0
217.3,22.2,1.265,228.3,0.464,100.55,79.1,33.4,0
339.3,37.3,0.858,230.8,0.732,160.4,84.4,48.2,0
255.2,24.2,1.301,231.0,0.519,113.85,82.0,36.2,0
248.9,39.7,0.849,228.6,0.669,145.33,83.5,49.1,0
1226.6,26.3,1.258,233.4,2.549,565.24,85.0,57.3,0
1044.4,30.4,0.534,226.6,2.106,453.38,84.2,53.1,0
769.0,28.8,1.051,236.7,1.6,359.83,86.3,48.5,0
317.4,41.5,1.47,233.1,0.627,138.91,81.6,55.5,0
789.9,23.2,1.481,225.3,1.749,374.34,85.4,45.2,0
768.2,34.1,0.782,238.5,1.676,379.81,84.5,52.8,0
407.8,23.6,0.941,230.8,0.892,195.54,84.2,36.4,0
720.6,37.6,0.563,226.4,1.523,327.54,85.8,55.2,0
678.2,42.6,1.373,235.5,1.404,314.21,84.7,64.2,0
939.0,30.9,1.069,232.5,1.903,420.19,85.4,53.7,0
962.1,32.2,0.885,221.1,1.916,402.48,85.7,54.6,0
254.4,43.2,0.613,227.4,0.575,124.09,82.2,52.6,0
649.5,33.0,1.447,231.4,1.457,320.39,87.3,54.9,0
951.0,32.2,1.03,219.2,1.967,409.53,84.6,55.3,0
803.8,34.5,0.783,230.4,1.699,371.81,86.7,53.6,0
1227.8,37.2,0.85,230.8,2.584,566.6,84.3,66.6,0
990.4,22.7,0.771,224.1,1.961,417.43,82.8,46.4,0
395.5,40.5,1.102,231.4,0.979,215.16,84.9,54.0,0
284.7,30.9,1.43,230.0,0.73,159.45,83.4,43.0,0
970.9,21.8,1.357,224.0,2.057,437.85,84.8,48.7,0
231.8,39.7,0.96,234.6,0.598,133.16,82.1,48.9,0
902.9,29.4,1.326,234.2,1.95,433.87,85.4,53.8,0
1328.3,22.5,0.923,228.6,2.74,594.89,83.6,52.6,0
890.6,35.8,0.752,229.0,1.926,419.02,84.5,58.2,0
665.8,42.0,1.483,233.6,1.425,316.31,86.4,62.4,0
971.9,42.2,0.804,229.0,2.049,445.83,83.6,65.6,0
749.9,43.9,0.824,220.3,1.651,345.6,83.2,64.2,0
854.7,41.7,1.49,232.4,1.691,759.26,85.6,65.2,1
1329.8,20.1,0.634,225.9,2.733,586.64,83.5,49.7,0
663.3,29.5,1.261,228.1,1.455,315.31,84.6,47.5,0
1353.4,40.5,1.436,237.3,2.734,616.24,79.7,74.2,0
1286.4,29.2,1.012,229.3,2.667,580.97,81.1,61.2,0
434.9,35.0,0.503,230.0,0.89,194.55,84.1,44.7,0
283.2,35.2,0.875,232.5,0.665,146.96,82.3,45.4,0
320.9,29.1,0.612,232.5,0.697,153.93,84.0,40.2,0
221.9,42.6,0.916,225.4,0.485,103.82,81.7,52.2,0
313.3,32.6,1.29,229.7,0.779,170.04,81.9,44.7,0
1019.6,31.6,0.939,230.2,2.097,458.52,84.8,55.6,0
285.4,44.9,0.932,231.4,0.676,148.55,83.4,53.4,0
582.8,32.3,1.057,231.4,1.316,289.45,85.9,50.8,0
1213.9,24.5,1.082,242.9,2.46,567.84,83.2,53.7,0
227.9,32.8,1.356,224.1,0.557,118.57,81.8,42.4,0
1177.4,40.4,0.808,234.9,2.411,537.97,84.4,66.9,0
538.2,39.4,1.322,235.9,1.168,261.85,83.6,55.7,0
341.8,39.7,1.066,232.5,0.884,195.31,83.6,51.4,0
1036.1,37.7,0.801,226.7,2.173,468.03,84.2,64.8,0
954.7,26.4,0.795,238.3,1.991,450.83,84.7,50.3,0
1253.0,41.6,0.861,219.0,2.617,544.51,83.0,71.4,0
1082.1,42.3,1.123,226.6,2.284,491.67,84.3,70.8,0
1164.2,24.9,0.731,235.9,2.298,515.01,85.6,53.6,0
538.4,23.3,1.42,228.1,1.286,278.73,83.8,41.7,0
412.9,44.4,1.075,238.0,0.851,192.35,83.1,59.5,0
1100.7,41.7,1.42,222.4,2.401,507.34,85.5,70.2,0
1168.2,42.3,0.546,224.4,2.437,519.6,84.1,67.6,0
1388.6,42.2,0.843,227.3,2.871,619.96,82.3,73.1,0
695.1,33.5,0.523,232.1,1.435,316.32,83.9,50.4,0
646.4,36.2,0.772,228.9,1.498,325.71,85.0,50.3,0
1131.7,33.6,1.362,227.5,2.395,517.8,84.7,64.4,0
609.0,21.3,0.537,237.1,1.267,285.37,84.0,35.6,0
1316.9,38.6,0.936,237.6,2.692,607.67,83.0,70.5,0
1230.1,32.6,0.618,227.9,2.491,539.37,82.9,58.9,0
714.8,36.2,0.917,221.5,1.514,318.54,84.3,56.2,0
1101.0,32.6,1.339,219.2,2.255,469.62,85.1,62.7,0
1105.5,32.3,1.123,231.2,2.333,512.49,85.2,60.1,0
323.7,24.3,1.237,233.3,0.701,155.43,82.9,37.5,0
1283.1,27.0,0.849,230.3,2.686,587.65,83.1,55.8,0
806.3,24.0,1.444,229.6,1.758,383.51,86.3,47.4,0
1191.7,24.9,1.209,226.0,2.466,529.41,83.1,55.7,0
584.1,44.3,0.922,233.3,1.288,285.34,84.9,60.3,0
